Tipo,Conteo,Promedio,Min,Max,Moda,Media
allWardsPlaced,9879,22.328120255086546,5,276,16,22.328120255086546
allWardsDestroyed,9879,2.7740155886223303,0,27,2,2.7740155886223303
allKills,9879,6.1607956270877615,0,22,5,6.1607956270877615
allAssists,9879,6.6536086648446195,0,29,5,6.6536086648446195
allTotalGold,9879,16496.24845632149,10730,23701,15967,16496.24845632149
allTotalExperience,9879,17944.920285453994,10098,22269,18530,17944.920285453994
allTotalMinionsKilled,9879,217.02439518169857,90,289,218,217.02439518169857
allTotalJungleMinionsKilled,9879,50.91137766980464,0,92,48,50.91137766980464
winblueWardsPlaced,4930,22.289858012170384,5,250,16,22.289858012170384
winblueWardsDestroyed,4930,2.9212981744421906,0,24,2,2.9212981744421906
winblueKills,4930,7.201622718052739,0,22,6,7.201622718052739
winblueAssists,4930,7.771805273833672,0,29,5,7.771805273833672
winblueTotalGold,4930,17145.263894523327,12939,23701,17194,17145.263894523327
winblueTotalExperience,4930,18404.57789046653,14181,22125,18073,18404.57789046653
winblueTotalMinionsKilled,4930,221.62494929006084,143,283,220,221.62494929006084
winblueTotalJungleMinionsKilled,4930,51.8131845841785,4,92,48,51.8131845841785
winredWardsPlaced,4949,22.80400080824409,7,276,15,22.80400080824409
winredWardsDestroyed,4949,2.8413820973934127,0,24,2,2.8413820973934127
winredKills,4949,7.131137603556274,0,22,7,7.131137603556274
winredAssists,4949,7.760557688421904,0,28,7,7.760557688421904
winredTotalGold,4949,17101.177813699738,12891,22732,15563,17101.177813699738
winredTotalExperience,4949,18425.370579915136,14029,22269,18548,18425.370579915136
winredTotalMinionsKilled,4949,221.98908870478886,143,289,220,221.98908870478886
winredTotalJungleMinionsKilled,4949,52.42392402505557,17,92,52,52.42392402505557
loseredWardsPlaced,4930,21.93022312373225,6,268,16,21.93022312373225
loseredWardsDestroyed,4930,2.6044624746450302,0,24,2,2.6044624746450302
loseredKills,4930,5.1403651115618665,0,17,4,5.1403651115618665
loseredAssists,4930,5.559432048681542,0,25,4,5.559432048681542
loseredTotalGold,4930,15874.54584178499,11212,21747,15055,15874.54584178499
loseredTotalExperience,4930,17496.303448275863,10465,21135,17869,17496.303448275863
loseredTotalMinionsKilled,4930,212.69148073022313,107,289,210,212.69148073022313
loseredTotalJungleMinionsKilled,4930,50.19797160243408,4,91,48,50.19797160243408
loseblueWardsPlaced,4949,22.28672459082643,5,221,16,22.28672459082643
loseblueWardsDestroyed,4949,2.728834107900586,0,27,2,2.728834107900586
loseblueKills,4949,5.170135380885028,0,16,5,5.170135380885028
loseblueAssists,4949,5.522731865023237,0,26,3,5.522731865023237
loseblueTotalGold,4949,15864.111133562335,10730,21055,15885,15864.111133562335
loseblueTotalExperience,4949,17453.47161042635,10098,22224,17777,17453.47161042635
loseblueTotalMinionsKilled,4949,211.79308951303292,90,272,203,211.79308951303292
loseblueTotalJungleMinionsKilled,4949,49.211153768438066,0,84,48,49.211153768438066
